400,Zephyra Zirconia,z.zirconia.24@dartmouth.edu,2024,f,m
401,Elowen Eldritch,e.eldritch.23@dartmouth.edu,2023,f,m
402,Aurora Astra,a.astra.25@dartmouth.edu,2025,f,m
403,Seraphine Sylvan,s.sylvan.26@dartmouth.edu,2026,f,m
404,Isolde Indigo,i.indigo.22@dartmouth.edu,2022,f,m
405,Marigold Moonbeam,m.moonbeam.24@dartmouth.edu,2024,f,m
406,Cosima Celestia,c.celestia.23@dartmouth.edu,2023,f,m
407,Avalonia Astraea,a.astraea.25@dartmouth.edu,2025,f,m
408,Hecate Hellebore,h.hellebore.26@dartmouth.edu,2026,f,m
409,Arcadia Artemis,a.artemis.22@dartmouth.edu,2022,f,m
410,Elara Euphoria,e.euphoria.24@dartmouth.edu,2024,f,m
411,Lorelei Luminara,l.luminara.23@dartmouth.edu,2023,f,m
412,Evangeline Echo,e.echo.25@dartmouth.edu,2025,f,m
413,Sapphira Solstice,s.solstice.26@dartmouth.edu,2026,f,m
414,Guinevere Gale,g.gale.22@dartmouth.edu,2022,f,m
415,Rhiannon Rain,r.rain.24@dartmouth.edu,2024,f,m
416,Seraphina Shadow,s.shadow.23@dartmouth.edu,2023,f,m
417,Lilith Labyrinth,l.labyrinth.25@dartmouth.edu,2025,f,m
418,Nyx Nebula,n.nebula.26@dartmouth.edu,2026,f,m
419,Morgana Mystique,m.mystique.22@dartmouth.edu,2022,f,m
420,Seraphiel Stardust,s.stardust.24@dartmouth.edu,2024,f,m
421,Lilura Lunaria,l.lunaria.23@dartmouth.edu,2023,f,m
422,Elspeth Ecliptica,e.ecliptica.25@dartmouth.edu,2025,f,m
423,Cressida Celeste,c.celeste.26@dartmouth.edu,2026,f,m
424,Zephyrine Zephyr,z.zephyr.22@dartmouth.edu,2022,f,m
425,Meridia Moonstone,m.moonstone.24@dartmouth.edu,2024,f,m
426,Aurelia Amethyst,a.amethyst.23@dartmouth.edu,2023,f,m
427,Calliope Cascade,c.cascade.25@dartmouth.edu,2025,f,m
428,Persephone Primrose,p.primrose.26@dartmouth.edu,2026,f,m
429,Anastasia Astral,a.astral.22@dartmouth.edu,2022,f,m
430,Elowen Ember,e.ember.24@dartmouth.edu,2024,f,m
431,Rowena Raven,r.raven.23@dartmouth.edu,2023,f,m
432,Morgana Midnight,m.midnight.25@dartmouth.edu,2025,f,m
433,Luna Luminaria,l.luminaria.26@dartmouth.edu,2026,f,m
434,Aurora Aurora,a.aurora.22@dartmouth.edu,2022,f,m
435,Vesper Vortex,v.vortex.24@dartmouth.edu,2024,f,m
