200,Henry Baker,h.baker.24@dartmouth.edu,2024,m,b
201,Lucas Carter,l.carter.23@dartmouth.edu,2023,m,b
202,Owen Diaz,o.diaz.25@dartmouth.edu,2025,m,b
203,Noah Edwards,n.edwards.26@dartmouth.edu,2026,m,b
204,Liam Foster,l.foster.22@dartmouth.edu,2022,m,b
205,Ethan Gray,e.gray.24@dartmouth.edu,2024,m,b
206,Aiden Hughes,a.hughes.23@dartmouth.edu,2023,m,b
207,Mason Jenkins,m.jenkins.25@dartmouth.edu,2025,m,b
208,Logan Kelly,l.kelly.26@dartmouth.edu,2026,m,b
209,Jackson Lewis,j.lewis.22@dartmouth.edu,2022,m,b
210,Samuel Morgan,s.morgan.24@dartmouth.edu,2024,m,b
211,William Nelson,w.nelson.23@dartmouth.edu,2023,m,b
212,Jacob Perry,j.perry.25@dartmouth.edu,2025,m,b
213,Alexander Quinn,a.quinn.26@dartmouth.edu,2026,m,b
214,Michael Rogers,m.rogers.22@dartmouth.edu,2022,m,b
215,James Stewart,j.stewart.24@dartmouth.edu,2024,m,b
216,Benjamin Turner,b.turner.23@dartmouth.edu,2023,m,b
217,Matthew White,m.white.25@dartmouth.edu,2025,m,b
218,Joseph Harris,j.harris.26@dartmouth.edu,2026,m,b
219,Andrew Wright,a.wright.22@dartmouth.edu,2022,m,b
220,David Hill,d.hill.24@dartmouth.edu,2024,m,b
221,Christopher Adams,c.adams.23@dartmouth.edu,2023,m,b
222,Daniel Bailey,d.bailey.25@dartmouth.edu,2025,m,b
223,Elijah Cook,e.cook.26@dartmouth.edu,2026,m,b
224,Joshua Ross,j.ross.22@dartmouth.edu,2022,m,b
225,John Reed,j.reed.24@dartmouth.edu,2024,m,b
226,Gabriel Gray,g.gray.23@dartmouth.edu,2023,m,b
227,Ryan Brooks,r.brooks.25@dartmouth.edu,2025,m,b
228,Caleb Mitchell,c.mitchell.26@dartmouth.edu,2026,m,b
229,Isaac Bell,i.bell.22@dartmouth.edu,2022,m,b
230,Charles Murphy,c.murphy.24@dartmouth.edu,2024,m,b
231,Dylan Collins,d.collins.23@dartmouth.edu,2023,m,b
232,Nathan Ward,n.ward.25@dartmouth.edu,2025,m,b
233,Christian Hughes,c.hughes.26@dartmouth.edu,2026,m,b
234,Jonathan Diaz,j.diaz.22@dartmouth.edu,2022,m,b
235,Hunter Price,h.price.24@dartmouth.edu,2024,m,b
236,Connor Barnes,c.barnes.23@dartmouth.edu,2023,m,b
237,Charles Cooper,c.cooper.25@dartmouth.edu,2025,m,b
238,Jordan Turner,j.turner.26@dartmouth.edu,2026,m,b
239,Austin Patterson,a.patterson.22@dartmouth.edu,2022,m,b
240,Adrian Myers,a.myers.24@dartmouth.edu,2024,m,b
241,Brandon Long,b.long.23@dartmouth.edu,2023,m,b
242,Justin Peterson,j.peterson.25@dartmouth.edu,2025,m,b
243,Kevin Howard,k.howard.26@dartmouth.edu,2026,m,b
244,Zachary Flores,z.flores.22@dartmouth.edu,2022,m,b
245,Blake Simmons,b.simmons.24@dartmouth.edu,2024,m,b
246,Adam James,a.james.23@dartmouth.edu,2023,m,b
247,Jason Rogers,j.rogers.25@dartmouth.edu,2025,m,b
248,Jose Brooks,j.brooks.26@dartmouth.edu,2026,m,b
249,Eric Kelly,e.kelly.22@dartmouth.edu,2022,m,b
250,Evan Bennett,e.bennett.24@dartmouth.edu,2024,m,b
