100,Darius Shaw,d.e.shaw.26@dartmouth.edu,2026,m,f
101,John Steinbeck,j.steinbeck.26@dartmouth.edu,2026,m,f
102,Philip Hanlon,p.hanlon.77@dartmouth.edu,1977,m,f
103,Jack Thompson,j.thompson.27@dartmouth.edu,2027,m,f
104,Michael Johnson,m.johnson.27@dartmouth.edu,2027,m,f
105,Christopher Williams,c.williams.26@dartmouth.edu,2026,m,f
106,Matthew Brown,m.brown.26@dartmouth.edu,2026,m,f
107,David Jones,d.jones.25@dartmouth.edu,2025,m,f
108,Joseph Garcia,j.garcia.28@dartmouth.edu,2028,m,f
109,Daniel Martinez,d.martinez.27@dartmouth.edu,2027,m,f
110,Andrew Robinson,a.robinson.26@dartmouth.edu,2026,m,f
111,Ryan Clark,r.clark.25@dartmouth.edu,2025,m,f
112,William Rodriguez,w.rodriguez.28@dartmouth.edu,2028,m,f
113,Brian Lewis,b.lewis.26@dartmouth.edu,2026,m,f
114,Justin Lee,j.lee.27@dartmouth.edu,2027,m,f
115,Brandon Walker,b.walker.26@dartmouth.edu,2026,m,f
116,Tyler Hall,t.hall.25@dartmouth.edu,2025,m,f
117,Jonathan Allen,j.allen.28@dartmouth.edu,2028,m,f
118,Nicholas Scott,n.scott.27@dartmouth.edu,2027,m,f
119,Anthony Green,a.green.26@dartmouth.edu,2026,m,f
120,Kevin Baker,k.baker.25@dartmouth.edu,2025,m,f
121,Zachary Adams,z.adams.28@dartmouth.edu,2028,m,f
122,Kyle Gonzalez,k.gonzalez.27@dartmouth.edu,2027,m,f
123,Benjamin Nelson,b.nelson.26@dartmouth.edu,2026,m,f
124,Logan Carter,l.carter.25@dartmouth.edu,2025,m,f
125,Jacob Mitchell,j.mitchell.28@dartmouth.edu,2028,m,f
126,Elijah Perez,e.perez.27@dartmouth.edu,2027,m,f
127,Christian Roberts,c.roberts.26@dartmouth.edu,2026,m,f
128,Adrian Turner,a.turner.25@dartmouth.edu,2025,m,f
129,James Phillips,j.phillips.28@dartmouth.edu,2028,m,f
130,Nathan Campbell,n.campbell.27@dartmouth.edu,2027,m,f
131,Dylan Parker,d.parker.26@dartmouth.edu,2026,m,f
132,Caleb Evans,c.evans.25@dartmouth.edu,2025,m,f
133,Isaac Edwards,i.edwards.28@dartmouth.edu,2028,m,f
134,Steven Collins,s.collins.27@dartmouth.edu,2027,m,f
135,Gabriel Stewart,g.stewart.26@dartmouth.edu,2026,m,f
136,Jordan Morris,j.morris.25@dartmouth.edu,2025,m,f
137,Cooper Sanchez,c.sanchez.28@dartmouth.edu,2028,m,f
138,Brayden Rogers,b.rogers.27@dartmouth.edu,2027,m,f
139,Angel Reed,a.reed.26@dartmouth.edu,2026,m,f
140,Jason Cook,j.cook.25@dartmouth.edu,2025,m,f
141,Cameron Morgan,c.morgan.28@dartmouth.edu,2028,m,f
142,Hunter Bell,h.bell.27@dartmouth.edu,2027,m,f
143,Connor Murphy,c.murphy.26@dartmouth.edu,2026,m,f
144,Owen Bailey,o.bailey.25@dartmouth.edu,2025,m,f
145,Julian Rivera,j.rivera.28@dartmouth.edu,2028,m,f
146,Alexander Cooper,a.cooper.27@dartmouth.edu,2027,m,f
147,Leo Richardson,l.richardson.26@dartmouth.edu,2026,m,f
148,Thomas Cox,t.cox.25@dartmouth.edu,2025,m,f
149,Isaiah Howard,i.howard.28@dartmouth.edu,2028,m,f
150,Victor Ward,v.ward.27@dartmouth.edu,2027,m,f
151,Evan Torres,e.torres.26@dartmouth.edu,2026,m,f
152,Jaxon Peterson,j.peterson.25@dartmouth.edu,2025,m,f
153,Aidan Gray,a.gray.28@dartmouth.edu,2028,m,f
154,Kaden Ramirez,k.ramirez.27@dartmouth.edu,2027,m,f
155,Dominic James,d.james.26@dartmouth.edu,2026,m,f
156,Colton Watson,c.watson.25@dartmouth.edu,2025,m,f
157,Carson Brooks,c.brooks.28@dartmouth.edu,2028,m,f
158,Israel Sanders,i.sanders.27@dartmouth.edu,2027,m,f
159,Maxwell Price,m.price.26@dartmouth.edu,2026,m,f
160,Kingston Bennett,k.bennett.25@dartmouth.edu,2025,m,f
161,Peter Foster,p.foster.28@dartmouth.edu,2028,m,f
162,Bryson Hayes,b.hayes.27@dartmouth.edu,2027,m,f
163,Sawyer Simmons,s.simmons.26@dartmouth.edu,2026,m,f
164,Gavin Bryant,g.bryant.25@dartmouth.edu,2025,m,f
165,Landon Russell,l.russell.28@dartmouth.edu,2028,m,f
166,Elias Griffin,e.griffin.27@dartmouth.edu,2027,m,f
167,Giovanni Diaz,g.diaz.26@dartmouth.edu,2026,m,f
168,Ashton Hayes,a.hayes.25@dartmouth.edu,2025,m,f
169,Bennett Herrera,b.herrera.28@dartmouth.edu,2028,m,f
170,Cole Medina,c.medina.27@dartmouth.edu,2027,m,f
171,Roman Stanley,r.stanley.26@dartmouth.edu,2026,m,f
172,Elliott Snyder,e.snyder.25@dartmouth.edu,2025,m,f
173,Finn Cole,f.cole.28@dartmouth.edu,2028,m,f
